NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
B8087 PLASTIC BOWL ,PLASTIC BOWL, $	3.00 , $	4.50 , 	-   , 	5.00 , 	-   , 	5.00 , 	-   , 	-   , 	1.00 , 	-   , 	1.00 , 	-   , 	15.00 , 	25.00 , 	52.00 ,,
B8098 PLASTIC BOWL ,PLASTIC BOWL, $	5.00 , $	7.50 , 	-   , 	67.00 , 	40.61 , 	25.00 , 	5.00 , 	20.00 , 	80.00 , 	15.00 , 	-   , 	-   , 	-   , 	-   , 	252.61 ,,
CJ305 PLASTIC BOWL ,PLASTIC BOWL, $	3.60 , $	5.40 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
CJ315 PLASTIC BOWL ,PLASTIC BOWL, $	7.00 , $	10.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	(18.00), 	-   , 	-   , 	-   , 	-   , 	-   , 	(5.00), 	(23.00),,
JC8012 PLASTIC BOWL ,PLASTIC BOWL, $	4.10 , $	6.15 , 	7.00 , 	-   , 	2.00 , 	5.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 ,,
JCP8611 PLASTIC BOWL,PLASTIC BOWL, $	3.00 , $	4.50 , 	-   , 	15.00 , 	(0.22), 	10.00 , 	-   , 	10.00 , 	15.00 , 	10.00 , 	5.00 , 	-   , 	-   , 	-   , 	64.78 ,,
JCP8612 PLASTIC BOWL ,PLASTIC BOWL, $	2.80 , $	4.20 , 	(1.00), 	20.00 , 	19.96 , 	30.00 , 	40.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	108.96 ,,
JCP8705 PLASTIC BOWL ,PLASTIC BOWL, $	6.00 , $	9.00 , 	-   , 	30.00 , 	15.00 , 	35.00 , 	95.00 , 	20.00 , 	20.00 , 	16.00 , 	5.00 , 	1.00 , 	-   , 	10.00 , 	247.00 ,,
JCP8709 PLASTIC BOWL ,PLASTIC BOWL, $	4.90 , $	7.35 , 	-   , 	70.00 , 	14.78 , 	35.00 , 	20.00 , 	20.00 , 	-   , 	10.00 , 	5.00 , 	-   , 	-   , 	10.00 , 	184.78 ,,
PP6020 PLASTIC BOWL,PLASTIC BOWL, $	4.60 , $	6.90 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
XC13 CM PLASTIC BOWL ,PLASTIC BOWL, $	3.90 , $	5.85 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.33 , 	-   , 	5.00 , 	-   , 	-   , 	27.00 , 	0.67 , 	34.00 ,,
